Lidar data points
Time recoreded: 1653831521043
X782 Y0 P1
X772.8822683558905 Y13.490710176020155 P0
X763.5345918425892 Y26.66321548071074 P0.9966666666666664
X745.9762624616667 Y39.094959313479045 P0.9900000000000001
X728.2217566896717 Y50.92222583321147 P0.9933333333333333
X710.2868197394146 Y62.14204457908027 P1
X694.1762829670547 Y72.96086736082212 P0.9966666666666668
X679.8941138743055 Y83.48050023252603 P0.9966666666666668
X664.4698741255937 Y93.38515074420391 P1
X648.9112397710055 Y102.77744353143169 P0.9966666666666668
X626.3377309157643 Y110.44024099616769 P1
X605.6639721872086 Y117.72915014732814 P0.9966666666666666
X593.7355936454201 Y126.20239632637993 P1
X582.6732987415706 Y134.52073049763126 P0.9966666666666668
X96.05927690132366 Y23.950267664367104 P0.53
X478.1332840130888 Y128.11542732574776 P0.33999999999999997
X563.2993538198549 Y161.5234905087615 P1
X552.7441489466345 Y168.99084532974186 P1
X542.1022142882375 Y176.13968679372002 P1
X531.381439486816 Y182.96930280492205 P1
X520.5897119153933 Y189.47915940242046 P1
X510.66849329396933 Y196.02726840127926 P1
X501.60646532063197 Y202.6621670380084 P1
X495.23161115741294 Y210.2133471272293 P0.9966666666666668
X408.3548195662426 Y181.81127945488268 P0.9966666666666666
X244.7031024998955 Y114.10693066998886 P0.9966666666666666
X322.667062621401 Y157.3752416972788 P1
X475.7974839165885 Y242.43092686091796 P1
X467.9622242152313 Y248.81992827652212 P0.9966666666666666
X459.1753462481828 Y254.52505062932696 P0.9966666666666666
X450.33320996790815 Y259.99999999999994 P1
X441.44115986158783 Y265.2446085786779 P1
X433.35257713593364 Y270.7887440231677 P1
X425.20597794833 Y276.1319907526187 P1
X417.00589899518593 Y281.2740304457857 P1
X408.7568701002069 Y286.21464173917195 P1
X401.27242920997395 Y291.5414851370667 P1
X393.72730645331535 Y296.6948064139598 P1
X386.12526926729373 Y301.6741229095726 P1
X378.47008322954485 Y306.4790304412708 P1
X370.76551046958537 Y311.10920308828497 P1
X363.7700176673761 Y316.22045197342453 P1
X356.70951622914924 Y321.1826910522519 P1
X349.58706937396346 Y325.99521610987426 P1
X343.12508476153664 Y331.35204270894167 P0.9966666666666666
X335.8757210636101 Y335.87572106361006 P1
X329.2680675975647 Y340.9670653605207 P0.9966666666666666
X321.9032259494993 Y345.19894716424847 P1
X315.1605155950222 Y350.02121279985266 P1
X308.34774362553844 Y354.7135027047028 P1
X301.467388942987 Y359.2748438228007 P1
X294.52194301132397 Y363.7043099618624 P1
X287.5139089770824 Y368.0010219343392 P1
X281.04761581200654 Y372.96278319208574 P1
X273.9079275682925 Y377.0019193787255 P1
X267.28661933958745 Y381.7248526386702 P1
X260.583893017368 Y386.33150881064944 P1
X253.80179031700263 Y390.8204846625676 P1
X247.4722963969067 Y396.03846090505095 P0.9966666666666666
X240.5227809829953 Y400.29712942788643 P1
X233.50000000000006 Y404.4338635673328 P1
X226.89090227528578 Y409.3220229412372 P0.9966666666666668
X220.18216294658282 Y414.1024210508367 P1
X213.37553487758703 Y418.77306636853285 P1
X206.47281013765547 Y423.3319958069077 P1
X199.89843780335084 Y428.68358326833544 P0.9966666666666668
X192.3864321748535 Y432.1070014649502 P1
X185.597286032405 Y437.2398053899092 P0.9966666666666666
X178.68734505939 Y442.2666986283576 P0.9966666666666666
X171.29987988265358 Y446.25144386566245 P1
X164.51168893964672 Y451.9921505980219 P0.9966666666666666
X157.2494186028067 Y456.68547201447 P1
X149.8732422718495 Y461.2624104031495 P1
X142.67739190469555 Y466.6767209099613 P1
X135.33794170614658 Y471.97949270571456 P1
X127.85660828064525 Y477.16735818679973 P0.9966666666666666
X120.23518211303484 Y482.23697595917025 P0.9966666666666666
X112.47552717193246 Y487.18503239261764 P1
X104.78749217215076 Y492.986390769838 P1
X96.74016065590827 Y497.68498200796563 P1
X88.90786696546837 Y504.2215695422505 P0.9966666666666666
X80.72018396075916 Y509.6471837470911 P0.9966666666666666
X72.37001249923404 Y514.9393957456166 P1
X63.98140528770243 Y521.0867296116941 P0.9966666666666666
X55.400085531856334 Y527.0966045451848 P0.9966666666666666
X46.62832236999711 Y532.9641634790838 P0.9966666666666666
X37.73825229557175 Y539.6821511905649 P0.9966666666666666
X28.523096152404463 Y544.2530964412427 P0.9966666666666666
X19.229622683078095 Y550.6643456875217 P0.9966666666666666
X9.720990385566964 Y556.91516620211 P0.9966666666666666
X2.149255132503605e-14 Y351 P0.7666666666666666
X-2.5305989334061043 Y144.97791579767673 P0.5566666666666666
X-19.543718153400533 Y559.6588631306936 P0.7633333333333333
X-29.622151233506216 Y565.2243166710888 P0.9933333333333333
X-39.97045945538382 Y571.6042007988792 P0.9966666666666668
X-50.63748653638943 Y578.7891195913041 P0.9966666666666666
X-61.671793327915594 Y586.7679182672813 P0.9966666666666666
X-72.87786735627813 Y593.5425986815106 P1
X-84.47807228275967 Y601.0927177261332 P1
X-96.52006492982241 Y609.4037061472 P0.9966666666666666
X-111.30848188450233 Y631.2617696808253 P0.9966666666666664
X-125.36150996238993 Y644.9290595251152 P1
X-139.092921157081 Y654.380744890916 P0.9966666666666668
X-155.21622749726689 Y672.3153447018124 P0.9933333333333333
X-173.21607724936214 Y694.7317400136135 P0.9966666666666664
X-189.45554101504527 Y707.057704843598 P0.9966666666666668
X-206.4523795069323 Y719.9850102578008 P0.9966666666666664
X-223.07961070344808 Y729.6605287997961 P1
X-171.50443187809577 Y527.8363665438103 P0.2699999999999998
X-188.5039614306937 Y547.4552552720045 P0.6833333333333333
X-260.96136935748524 Y716.9854696596482 P0.9966666666666664
X-270.2094339571564 Y703.9196415788902 P1
X-279.0819120948545 Y690.7519716522567 P1
X-287.9688416965948 Y678.4120769944485 P0.9966666666666664
X-296.1042761591826 Y665.0610931638134 P0.9966666666666668
X-303.8625301915628 Y651.6352988793514 P1
X-311.6818853670341 Y639.0425669187077 P1
X-319.15532131690134 Y626.3775865044227 P1
X-327.221679261766 Y615.4144722226721 P1
X-343.2452111344066 Y619.2307526546923 P0.9966666666666664
X-368.49999999999983 Y638.2607225891313 P0.9966666666666664
X-394.0041273061915 Y655.7329850371159 P0.9900000000000001
X-421.2858150653978 Y674.1982364443587 P0.9900000000000001
X-451.5057600274574 Y695.2579008267566 P0.9866666666666665
X-319.29914788179633 Y473.38045392892883 P0.5133333333333333
X0 Y0 P1
X0 Y0 P1
X-1458.1978010974133 Y1935.0938408445902 P0
X-2256.399307068538 Y2888.059411968636 P0.9466666666666659
X-1376.953015617044 Y1700.3953636678525 P0
X-372.81681361819284 Y444.3057770090073 P0.7233333333333334
X-912.5781093257955 Y1049.8010260898761 P0
X0 Y0 P1
X0 Y0 P1
X-506.4059520646091 Y524.3987144468766 P0
X-1810.1933598375615 Y1810.1933598375617 P0
X-1008.5144000747891 Y973.911035383514 P0.9733333333333339
X-732.0850553207896 Y682.6803584225611 P0.13999999999999957
X-624.241653401011 Y562.069709341441 P0
X-1056.593412311881 Y918.4826405867102 P1
X0 Y0 P1
X0 Y0 P1
X-543.7274199886381 Y424.8064179747043 P0
X-2316.0429791371494 Y1745.2635671409396 P0
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X-3217.9789692065915 Y2089.77997735266 P0
X-4596.420681167829 Y2872.1624121439704 P0
X-5420.726009640158 Y3257.100785731184 P0.6433333333333355
X-4915.560191880474 Y2837.9999999999995 P0
X-3637.5433619927467 Y2016.3232106045164 P0
X-1633.453046789015 Y868.5223911538977 P0
X-2386.115471776449 Y1215.7865583025066 P0
X-4389.710122125131 Y2141.0046809178534 P0.1700000000000007
X-4248.7709056278145 Y1981.2344110403992 P0
X-1835.312824403985 Y817.133915939283 P0
X-4946.793082453414 Y2099.789084501357 P0.35333333333333405
X-5067.9869490620595 Y2047.5996396113762 P0
X-3031.335644836414 Y1163.6207321735899 P0
X-3646.94706127011 Y1327.3801762469209 P0
X-3418.9951693671296 Y1177.2544465170781 P0
X-3928.8144688152793 Y1276.549203762908 P0.8933333333333318
X-3971.533651514487 Y1214.2196897135252 P0.9899999999999997
X-3922.9089811242793 Y1124.8760490891739 P0.8600000000000003
X-3082.2693116884166 Y825.8915729221445 P0
X-2054.1160525262844 Y512.1486529844966 P0.9533333333333331
X-1938.0220588578327 Y447.42764708994787 P0.9099999999999995
X-2094.214013171078 Y445.1389300408227 P0.9533333333333331
X-2026.0785066359786 Y393.82976645718884 P0.9766666666666661
X-1994.2356998497212 Y351.6375597755338 P0.9699999999999999
X-1951.672161015992 Y309.11450291949643 P0.9900000000000005
X-1971.6237248644666 Y277.0936440114901 P0.9966666666666668
X-1948.368095671915 Y239.22952110430464 P0.9933333333333337
X-1893.5696887811923 Y199.0221940616127 P0.9933333333333327
X-1809.08957173461 Y158.2748288297473 P0.9733333333333339
X-1739.7517036531333 Y121.65529020975491 P0.9866666666666665
X-1672.7044707139112 Y87.66272670693088 P0.9933333333333337
X-1617.014358116897 Y56.46738566464685 P0.9966666666666668
X-1569.7608813955344 Y27.400278106534998 P1
X-1529 Y1.872484955896303e-13 P0.9900000000000005
X-1496.7719996491178 Y-26.126252436613605 P0.9799999999999992
X-1470.1039065450898 Y-51.337159649378826 P0.9766666666666661
X-1447.0141958593774 Y-75.83480059602522 P0.9866666666666665
X-1427.5141559218084 Y-99.82151392784327 P1
