Lidar data points
Time recoreded: 1653831476199
X644 Y0 P1
X643.901915680716 Y11.239349745610582 P1
X644.6070834273168 Y22.510175373113125 P1
X645.1146794514547 Y33.809027732941715 P0.9966666666666668
X644.4263764678465 Y45.06268203870494 P1
X644.5379696653594 Y56.38976555773483 P1
X644.4501881986411 Y67.73444419743944 P1
X645.1549985668593 Y79.21507321334586 P0.9966666666666668
X645.6547808195039 Y90.74086182596267 P0.9966666666666664
X644.960486408625 Y102.15170567127076 P1
X645.0490782229963 Y113.73955637183937 P1
X644.9290595251152 Y125.36150996238993 P1
X645.5774164843117 Y137.22171593972118 P1
X645.0329828878257 Y148.91759797563864 P1
X645.2466579735377 Y160.87806057377904 P1
X645.2384519610977 Y172.89112212848386 P0.9966666666666664
X645.9678596705503 Y185.22830310902344 P1
X646.4620150310119 Y197.64327239257005 P1
X645.7673745644092 Y209.82253918058927 P1
X566.3656267839908 Y195.01532451983687 P0.7033333333333334
X476.42415873845556 Y173.40421266611403 P0.7233333333333334
X631.1003683121083 Y242.25673389262298 P1
X632.339388814549 Y255.481696709652 P0.9966666666666664
X631.466329468374 Y268.0415541436418 P1
X630.3463657733946 Y280.64828372230215 P1
X630.7902197775084 Y294.1423101715268 P0.9966666666666668
X630.9534205020152 Y307.73654504593236 P0.9966666666666664
X359.0756292479123 Y182.95817139503734 P0.2833333333333333
X174.82362338606754 Y92.95536943160639 P0.19333333333333336
X522.1479651622193 Y289.4313432870632 P0.7266666666666666
X579.3709951317895 Y334.49999999999994 P0.9733333333333334
X576.0164260718195 Y346.1055863395564 P0.9866666666666669
X567.3441763286489 Y354.51598777201406 P0.9966666666666668
X566.9413039311066 Y368.1759876701583 P0.9966666666666664
X567.0616996276485 Y382.48794597399086 P1
X567.6723666922713 Y397.4884703912749 P0.9966666666666664
X569.5479640399631 Y413.8008176139011 P0.9866666666666669
X543.0721468321591 Y409.23421574339284 P0.9966666666666668
X457.0462370918987 Y357.08365568888183 P0.7199999999999998
X382.35581303682966 Y309.62563239652 P0.45999999999999985
X499.4609769135737 Y419.0975215156236 P0.18999999999999984
X492.8253558854701 Y428.40654593080126 P0.18000000000000016
X489.7324399896028 Y440.9570695904876 P1
X490.0069800848442 Y456.93890124187396 P0
X245.29487191548006 Y236.87850432651805 P0
X239.7091988222396 Y239.70919882223959 P0
X459.1691828733972 Y475.48360802384843 P0
X444.662930760749 Y476.84261345569917 P0
X428.91271867602813 Y476.3558331310097 P0
X413.9732472930101 Y476.22174512056915 P0
X398.5283180056544 Y474.94755473376637 P0
X41.535145809289276 Y51.29163345616008 P0.6133333333333333
X297.9801540576186 Y381.3972047456535 P0.6200000000000001
X380.3470946320945 Y504.7376423498891 P0.9666666666666667
X365.0146416736258 Y502.3995535068424 P0.98
X270.72807795769376 Y386.6397649044041 P0.3633333333333333
X223.6771613882987 Y331.6150290220167 P0.8166666666666667
X327.3280600440313 Y504.04101133519987 P0.9666666666666667
X312.65236589759087 Y500.3483767322914 P0.9666666666666667
X299.75215959765154 Y498.87136900862936 P0.9766666666666668
X287.50000000000006 Y497.9646071760522 P0.9866666666666667
X274.88705467967316 Y495.9093739480374 P0.9900000000000001
X262.434603597313 Y493.5677044081401 P0.9899999999999999
X250.60275585622986 Y491.835601351979 P0.9933333333333335
X239.78901729362536 Y491.6403433256444 P1
X229.0590978634591 Y491.21882057386426 P1
X219.2310506178563 Y492.40100166936185 P0.9966666666666666
X209.04115374176143 Y492.4700965970556 P1
X198.91610110384926 Y492.33462677496414 P1
X188.8599094103733 Y491.9968847640253 P1
X178.8765349593248 Y491.45924067103005 P0.9966666666666666
X169.2954403177215 Y491.6696593116447 P1
X159.76178609184782 Y491.69621892459435 P1
X150.2790562274867 Y491.5406445650002 P1
X141.12632617830357 Y492.1659883204193 P1
X131.73889395718305 Y491.65624558113575 P1
X122.65440106903151 Y491.93993322193023 P1
X113.60028244365178 Y492.0568827165438 P1
X104.57958048133301 Y492.0082431691042 P1
X95.595306683649 Y491.79521890727966 P1
X86.82408883346521 Y492.403876506104 P1
X77.904363590035 Y491.8687936163786 P1
X69.16903117715253 Y492.16323016456045 P1
X60.44719432895315 Y492.3028912140957 P1
X51.74158931748846 Y492.2883382072953 P1
X43.05493691734312 Y492.1201808573223 P1
X34.38994155585374 Y491.7990767780933 P0.9966666666666666
X25.801626427771374 Y492.3243606340049 P1
X17.205451874333033 Y492.69967772041423 P1
X8.604036373580813 Y492.9249137121009 P1
X3.018754359898226e-14 Y493 P1
X-8.604036373580755 Y492.9249137121009 P1
X-17.240351371035473 Y493.6990685474333 P1
X-25.853962384014256 Y493.3229901687595 P1
X-34.52945450334204 Y493.79420487861296 P1
X-43.229248402838486 Y494.1125702535058 P1
X-51.950646244023815 Y494.27738199803184 P0.9966666666666666
X-60.56906367235824 Y493.2954373657371 P1
X-69.4473773790726 Y494.1437663020436 P1
X-78.2172325201154 Y493.8441702975689 P1
X-87.17138518879901 Y494.37349201212845 P1
X-95.97692467440204 Y493.758473274175 P1
X-104.99540386296847 Y493.96453837057186 P1
X-114.05018455233957 Y494.00562284611425 P1
X-123.1382448602309 Y493.8805246744822 P1
X-132.7741701375932 Y495.51994888629207 P0.9966666666666668
X-141.9532382457545 Y495.0497734082342 P1
X-151.44854304637758 Y495.3658635888524 P1
X-160.6888370749726 Y494.5493884734799 P1
X-170.27214478109292 Y494.5062150384427 P1
X-179.90259538930175 Y494.27831853338785 P1
X-189.93501325900914 Y494.7976260435169 P1
X-200.03992088409706 Y495.1161783386645 P1
X-166.45146073643062 Y392.1350675707396 P0.8433333333333333
X-110.22563027354187 Y247.57081902114484 P0.5833333333333333
X-223.56506046082995 Y479.4368193423879 P1
X-233.65182123857832 Y479.05722667745596 P1
X-244.24688885987615 Y479.36151001334196 P1
X-254.92305859273876 Y479.4405429223973 P1
X-265.19086227474634 Y478.4169798052495 P0.9966666666666668
X-276.4999999999999 Y478.9120482927946 P0.9966666666666666
X-287.9062838747203 Y479.1565210924808 P0.9966666666666666
X-99.6248216758425 Y159.4330420774081 P0.8433333333333333
X-52.82998639645763 Y81.35104509070614 P0.6766666666666667
X-310.3520614262644 Y460.11585276804817 P0.9966666666666666
X-309.73127562956495 Y442.3421039160555 P0.9966666666666666
X-316.81625098564297 Y436.0601599680967 P0.9899999999999999
X-325.58192752525815 Y432.06181093558536 P0.6899999999999998
X-333.07285815118115 Y426.3138177012366 P0.55
X-339.2036907758623 Y418.8816732253074 P1
X-350.9620348888505 Y418.260265942962 P0.9966666666666666
X-362.80064303175044 Y417.35439786319296 P0.9966666666666668
X-375.38227016731946 Y416.9042470928182 P1
X-396.92304555637406 Y425.6478543423573 P1
X-413.3217304231034 Y428.0071812014974 P0.9966666666666666
X-427.79960261786124 Y427.7996026178613 P0.9966666666666666
X-443.1133170086092 Y427.90955620274224 P0.9966666666666666
X-459.290124616839 Y428.2949701192491 P1
X-475.61268830553223 Y428.24358806966933 P1
X-492.07064630524735 Y427.75048690181075 P1
X-509.4195546741203 Y427.45376044154875 P0.9966666666666668
X-351.26997457855083 Y284.4528167545265 P0.8066666666666668
X-117.41360228740156 Y91.73355982352311 P0.8766666666666666
X-605.3657166158481 Y456.1757875492525 P0.8733333333333334
X-752.3858047687011 Y546.6402846320001 P1
X-780.6518982074093 Y546.6183438425468 P0.9966666666666664
X-809.9697083862757 Y546.3314666909197 P0.9966666666666664
