Lidar data points
X2882.40610574937 Y-1468.6592666574345 P0.9533333333333341
X2917.4854742870953 Y-1422.9527424773464 P0.9966666666666678
X2757.8945959525263 Y-1286.0273704769477 P0.8266666666666671
X900.7558212356046 Y-401.04233007273893 P1
X991.3837271682781 Y-420.817425382948 P0.9766666666666666
X2031.459825355831 Y-820.763046174264 P0
X1088.554777295737 Y-417.8570291698207 P0
X1223.4797922632529 Y-445.3102266100205 P0.4466666666666669
X784.780417747433 Y-270.22156819944007 P0.25
X1365.7171573998405 Y-443.74840392242476 P0
X2029.278692153561 Y-620.4127574216483 P0.65
X2049.4099357404957 Y-587.6588426018418 P0.65
X2011.0575703338402 Y-538.8612519034481 P0.6433333333333328
X2392.7492609966075 Y-596.579394548781 P0.9933333333333327
X1153.6541567057184 Y-266.3420483431366 P0
X1476.0247295073127 Y-313.73874144399963 P0.43000000000000016
X1309.4906627191838 Y-254.53919983231057 P0.18666666666666643
X1377.746046464079 Y-242.9338005560356 P0.06666666666666665
X1677.0948023305436 Y-265.6257216383124 P0.0799999999999993
X575.3457479388524 Y-80.85957165779828 P1
X1192.0479281212279 Y-146.3650814295818 P0
X2492.271869792893 Y-261.94832894873946 P0.5599999999999994
X2379.90913374118 Y-208.21506942415573 P0.24333333333333274
X2221.5751399286287 Y-155.3476670281678 P0
X2266.8890438928825 Y-118.80262067148372 P0
X2578.428333709267 Y-90.04070149245213 P0.9633333333333326
X2562.6096426858307 Y-44.730517698757765 P0.9599999999999994
