Lidar data points
Time recoreded: 1653770284580
X2559 Y0 P0.9266666666666661
X2254.6565525776623 Y39.355176516074316 P0.09333333333333371
X1447.1179175236507 Y50.5344712252214 P0
X563.2270576015796 Y29.51747932102032 P0
X1754.7151644070307 Y122.7016373159164 P0
X2205.5750615751244 Y192.96281444331518 P0
X998.4999829497464 Y104.94657712072409 P0.23333333333333328
X2139.9295029386903 Y262.750304381498 P0
X2432.0983768292967 Y341.8091359579207 P0.9933333333333337
X2416.8733694363023 Y382.7951359534449 P0.9933333333333337
X1806.1374190243896 Y318.4707578411502 P0
X919.7846708904611 Y178.7880286678225 P0.9866666666666669
X1881.955983811842 Y400.02209313336897 P1
X1872.7392645172222 Y432.3559264489085 P0.9966666666666659
X1861.9974987236371 Y464.24811765576237 P0.9966666666666668
X1851.679808996144 Y496.15610946153225 P0.9566666666666663
X1838.893624330004 Y527.2942616779194 P1
X1829.4109981572867 Y559.3070711345954 P1
X1816.5179461237433 Y590.2224592561495 P0.9966666666666668
X1805.940479394695 Y621.8351750131693 P0.19666666666666688
X1793.8732130802991 Y652.9164536087015 P0.9733333333333339
X1782.2050341831582 Y684.1244156819782 P0.9900000000000005
X1769.9939783679972 Y715.123986830976 P0.9933333333333337
X1842.8507166117856 Y782.2437192355261 P0
X1593.223278128696 Y709.3487055241956 P0.6366666666666665
X1500.8456953326922 Y699.8558414425983 P0.9066666666666672
X1103.719088855377 Y538.319768256987 P0.2466666666666668
X2192.7670560275733 Y1117.2706198590245 P0
X2179.9976067686907 Y1159.1252885183644 P0
X2165.5583948771437 Y1200.3886197299305 P0.9900000000000005
X2152.07312840433 Y1242.4999999999998 P0.9933333333333337
X2138.6324152517705 Y1285.019996900585 P0.9966666666666668
X2126.9046251603163 Y1329.037514696878 P0.9966666666666659
X2100.031102135342 Y1363.7761436776277 P0.9800000000000002
X2010.416113445976 Y1356.0427909165612 P0.9533333333333331
X1845.5495557830984 Y1292.2677110989068 P0.9300000000000002
X1720.7791470355132 Y1250.2192316260903 P0.9366666666666665
X1605.2573751950586 Y1209.648196535617 P0.9199999999999998
X1502.7365071280187 Y1174.0664334460303 P0.9133333333333326
X1415.182795813144 Y1145.9924321017538 P0.9266666666666661
X1329.0871088114268 Y1115.2365028061456 P0.9266666666666671
X1295.0816396622768 Y1125.7972937477105 P0.9966666666666668
X1267.0619274389571 Y1140.8676838418532 P0.9800000000000002
X1201.6141317602971 Y1120.523305582685 P0.9966666666666659
X1141.5922631374394 Y1102.4228339184288 P0.9800000000000002
X1081.8733752154178 Y1081.8733752154176 P0.9800000000000002
X1026.0104131679389 Y1062.4648851001878 P0.9833333333333333
X974.5756565293103 Y1045.1044396137945 P0.9833333333333333
X925.407628594301 Y1027.7692936352362 P0.9833333333333333
X880.4312169052607 Y1012.82025665896 P0.9866666666666675
X837.5522554215607 Y998.1559093840284 P0.9866666666666665
X797.3489354601442 Y984.6439331659822 P0.9866666666666665
X760.3419220271879 Y973.1932807043017 P0.9966666666666668
X725.1871028982182 Y962.3557896069879 P0.9699999999999999
X691.2354566959484 Y951.4039853849382 P0.9733333333333329
X658.4657489310009 Y940.3865468437626 P0.9766666666666666
X626.8552447907072 Y929.3511188342018 P0.9766666666666666
X597.4690214114847 Y920.0216130361301 P0.9800000000000002
X562.2443393514304 Y899.7790300219681 P0.9599999999999999
X454.7786201455778 Y756.8787265199652 P0.6466666666666668
X373.50000000000006 Y646.9209766269756 P0.5800000000000002
X473.17418936042503 Y853.6288341680503 P0.9866666666666665
X453.50952965117057 Y852.9273747017234 P1
X433.1069367515277 Y850.0202240757029 P0.9899999999999997
X410.75376454136557 Y842.1700213823195 P0.9866666666666665
X389.2314190631842 Y834.7094718607545 P0.9866666666666669
X368.9101352697508 Y828.585730081839 P0.9866666666666665
X348.9228977409214 Y822.0108341330292 P0.9866666666666669
X329.2791956125866 Y814.9946081642062 P0.9866666666666665
X310.34664430623013 Y808.4806493465767 P0.9866666666666669
X292.08520240012115 Y802.4974981511657 P0.9866666666666665
X274.128386052926 Y796.1266406546247 P0.9866666666666665
X256.79312232558135 Y790.3279650412726 P0.9900000000000001
X240.03716957736688 Y785.1262046456521 P0.9966666666666668
X223.54189556758632 Y779.5832354059767 P0.9966666666666664
X207.57287417222165 Y774.6725126838328 P0.9933333333333333
X191.6021413149368 Y768.4742152105893 P0.9900000000000001
X176.3616266055901 Y763.9061307916244 P0.9900000000000001
X161.33947207458132 Y759.0425381694331 P0.9933333333333333
X146.73211744456304 Y754.8713040712536 P0.9933333333333337
X132.14626320453405 Y749.4387000422903 P0.9933333333333333
X117.95158664033411 Y744.7170088087339 P0.9933333333333337
X104.10147951812897 Y740.7205154186946 P0.9933333333333333
X90.67079149342973 Y738.4543368211436 P0.9966666666666668
X77.45559128133121 Y736.9407244678905 P0.9933333333333337
X63.97231517678107 Y731.2069083993413 P0.9966666666666664
X50.92222583321142 Y728.2217566896717 P0.9933333333333333
X37.89123231989143 Y723.0077831623115 P1
X25.092738129098276 Y718.5620046267298 P0.9966666666666664
X12.478470602657772 Y714.8911020368198 P0.9966666666666668
X4.347496136973104e-14 Y710 P0.9966666666666668
X-12.321398944722135 Y705.8924727804123 P1
X-24.534346181858172 Y702.5717513944243 P0.9966666666666668
X-36.63516937006069 Y699.0406743282017 P0.9966666666666668
X-48.62026219965536 Y695.3021430310974 P0.9966666666666664
X-60.48608546687481 Y691.3591204756714 P1
X-72.2291681179486 Y687.2146296994769 P0.9966666666666664
X-83.96797760614653 Y683.864298480871 P1
X-95.6119203595649 Y680.3141632254589 P1
X-107.1576085525581 Y676.5665133076694 P1
X-118.6017053465134 Y672.623695307338 P1
X-130.13173484680357 Y669.4697391113068 P1
X-141.37994975607634 Y665.1403684989879 P0.9966666666666668
X-152.9667169538282 Y662.57164405396 P1
X-164.5068890077741 Y659.8010938676777 P1
X-175.73813162461167 Y655.8636360502774 P1
X-186.88212724392537 Y651.7354298461802 P1
X-198.22801580201545 Y648.3746245429381 P1
X-209.82253918058925 Y645.7673745644094 P0.9966666666666664
X-221.06077687640936 Y642.0071128319362 P0.9966666666666664
X-231.5476370314777 Y636.17190427206 P0.9966666666666664
X-242.25673389262298 Y631.1003683121083 P1
X-256.23090989648387 Y634.1937565236826 P0.9933333333333333
X-275.07471445644876 Y648.035416830518 P0.9966666666666668
X-288.3762799407424 Y647.703729468604 P0.9966666666666664
X-300.0589658358965 Y643.4785287960216 P1
X-312.12025651382316 Y639.9413609650069 P0.9966666666666664
X-324.1492168140364 Y636.1786582704947 P0.9966666666666664
X-336.1416389546979 Y632.1904764869917 P1
X-348.09330733686994 Y627.9769497260862 P1
X-360.49999999999983 Y624.4043161285803 P1
X-373.40260430978935 Y621.4462930090315 P0.9966666666666668
X-385.78122436177307 Y617.3790140018782 P0.9966666666666668
X-398.1311345959848 Y613.068185168105 P0.9966666666666668
X-411.0067840509988 Y609.3426158279557 P0.9966666666666668
X-423.29941002707204 Y604.5342086852759 P0.9966666666666668
X-436.136657201015 Y600.290609826211 P1
X-448.9540072714281 Y595.7820904952804 P1
X-462.36176796956937 Y591.7960759586482 P1
X-475.766215633677 Y587.52234686147 P1
X-489.804158581143 Y583.7258656566612 P1
X-503.8533342647095 Y579.616957611089 P1
X-518.5762199281152 Y575.9372397449805 P0.9966666666666668
X-531.9587208487487 Y570.4558872629531 P1
X-547.3907959216899 Y566.839762666857 P0.9966666666666668
X-562.1498910433053 Y562.1498910433053 P0.9933333333333333
X-576.9105198715984 Y557.1160131081157 P0.9933333333333333
X-592.396498311528 Y552.4186716506239 P0.9933333333333333
X-608.6356120659858 Y548.017966607905 P0.9899999999999997
X-624.1448228442324 Y542.5608169751495 P0.9900000000000001
X-641.1791988905845 Y538.0132293076335 P0.9900000000000001
X-658.2426293540543 Y533.0343712192123 P0.9866666666666665
X-675.3252158409607 Y527.6218843540893 P0.9866666666666665
X-692.416987211003 Y521.7736250728258 P0.9900000000000001
X-708.6988870724539 Y514.8998810082065 P0.9966666666666668
X-726.5878632843359 Y508.76229904337777 P1
X-744.4757401544274 Y502.1552273167307 P0.9966666666666664
X-764.0288873982812 Y496.1661608986899 P0.9966666666666664
X-784.4444889446941 Y490.1753194157145 P1
X-804.8800953592834 Y483.62075234054106 P1
X-825.3222098065701 Y476.49999999999994 P0.9966666666666664
X-847.5064962180745 Y469.7805220187007 P0.9966666666666668
X-870.586326558902 Y462.89896090688825 P0.9966666666666664
X-893.6795437609329 Y455.3524712387655 P0.9966666666666664
X-918.5675153177488 Y448.015312018437 P0.9966666666666668
X-944.3727140921892 Y440.36822873380885 P0.9966666666666664
X-972.9259123893698 Y433.17452487572746 P0.9900000000000001
X-1000.5887757028026 Y424.7247366678406 P0.9900000000000001
X-1029.1740785691338 Y415.8133186916626 P0.9900000000000001
X-1059.613784074324 Y406.74762273391576 P0.9900000000000001
X-1085.344977007724 Y395.03326554114756 P0.9833333333333333
X-1102.4746591488035 Y379.6124680970446 P0.9766666666666666
X-1110.8340110327392 Y360.93184942993867 P0.9933333333333333
X-1102.61938362538 Y337.1045755453153 P0.9900000000000001
X-1094.8770716737451 Y313.9509482755621 P0.9933333333333337
X-1091.4961837066471 Y292.4655209658487 P1
X-1087.7015091553922 Y271.1944449672275 P0.9933333333333337
X-1079.6020317820405 Y249.24576821300263 P0.9933333333333333
X-1073.027918004985 Y228.07912482708196 P0.9966666666666664
X-1066.047121224163 Y207.21856897892783 P0.9933333333333337
X-1059.6531422411358 Y186.84543916961698 P0.9933333333333337
X-1053.863459415012 Y166.91557419792645 P0.9933333333333333
X-1045.7230805910983 Y146.966794613829 P1
X-1040.1883669201054 Y127.71907188859463 P0.9966666666666668
X-1033.308249287636 Y108.60507333509223 P0.9966666666666664
X-1029.069123128773 Y90.03188225833091 P0.9966666666666668
X-1021.50558746606 Y71.43062911398454 P1
X-1016.6048663801562 Y53.27800345531679 P1
X-1010.3841261163058 Y35.283391166228654 P1
X-1004.8469336321732 Y17.539668469469856 P1
X-999 Y1.223422152348206e-13 P0.9966666666666668
X-992.8487612902966 Y-17.33023959222265 P0.9966666666666664
X-988.3975279218857 Y-34.51560223877339 P1
X-982.6514621985007 Y-51.49858094305647 P1
X-976.6152052043678 Y-68.29158779549864 P0.9966666666666668
X-972.2860253375436 Y-85.06400492171416 P0.9966666666666664
X-968.6643260886982 Y-101.8107232226945 P0.9966666666666664
X-963.7623132437237 Y-118.33513244639803 P0.9966666666666668
X-958.57949054184 Y-134.7195617293434 P0.9966666666666668
X-953.119248674308 Y-150.95925876382265 P0.9966666666666668
X-947.3850583977442 Y-167.04954691558711 P1
X-942.3620961097574 Y-183.17663556148293 P0.9933333333333333
X-930.2183682978491 Y-197.7240179676893 P0.9900000000000001
X-921.7540812868325 Y-212.80369740929626 P1
X-917.8997570570928 Y-228.85811323728547 P1
X-918.595460800904 Y-246.13691189249727 P0.9966666666666664
X-946.8427704992441 Y-271.502795479744 P0.9900000000000001
X-969.6930225465179 Y-296.4649085888551 P0.9900000000000001
X-982.4413813328937 Y-319.21455518932055 P1
X-976.7206885940942 Y-336.3119035542429 P1
X-971.6421698926293 Y-353.6488281987414 P1
X-966.2557414246038 Y-370.91082777938595 P1
X-967.9799441677261 Y-391.08928352621217 P0.9900000000000001
X-970.2121155388721 Y-411.8306094276943 P1
X-964.7040032705866 Y-429.51389508804505 P1
X-959.7799464718124 Y-447.55273918340055 P1
X-953.6204831234161 Y-465.1117867432112 P0.9966666666666664
X-948.0309417364234 Y-483.0458917228777 P1
X-942.105081580475 Y-500.92615749254554 P0.9966666666666668
X-936.717706346293 Y-519.2311032838269 P1
X-930.9773090682714 Y-537.5000000000001 P1
X-925.7406847582813 Y-556.2411209028585 P1
X-920.1321843297222 Y-574.9624016930272 P1
X-914.1509190605123 Y-593.6565481663795 P1
X-907.7961419477708 Y-612.3162293004676 P0.9966666666666668
X-901.88640076218 Y-631.5076564225018 P0.9966666666666664
X-896.3908297674418 Y-651.2660595400602 P0.9966666666666664
X-890.4785937027315 Y-671.023750814534 P1
X-884.9360763003489 Y-691.3878367907141 P0.9933333333333333
X-878.174936446377 Y-711.1320418863165 P0.9966666666666668
X-872.5246207125161 Y-732.1350874329682 P0.9933333333333333
X-866.4065980957424 Y-753.155765281102 P0.9933333333333333
X-859.8185630773452 Y-774.184111557199 P0.9966666666666664
X-853.489769789572 Y-795.8920861929356 P0.9933333333333333
X-847.382284798931 Y-818.3075604006989 P0.9933333333333333
X-840.0428560496186 Y-840.0428560496184 P0.9933333333333333
X-831.5060694394197 Y-861.0497410053655 P0.9966666666666664
X-822.4900222353733 Y-882.0125641527196 P0.9966666666666664
X-815.670209151448 Y-905.8935422569438 P1
X-808.264723716305 Y-929.8022028344551 P1
X-798.9849988403686 Y-952.1932427968895 P0.9900000000000001
X-592.1904879778974 Y-731.2943497310093 P0.4833333333333333
X-676.6119613828982 Y-866.0238182137876 P0.476666666666667
X-764.9068944262533 Y-1015.0657332701091 P0.4700000000000003
X-349.1444398617291 Y-480.55609465871873 P0.8366666666666667
X-449.11034966286934 Y-641.3960506782804 P0.9966666666666668
X-496.56329828202297 Y-736.1853644288772 P1
X-370.35454381021833 Y-570.2959862028883 P0.2666666666666667
X-504.4831395500112 Y-807.3417875409175 P1
X-487.22601886491157 Y-810.880266464198 P0.9966666666666664
X-466.5000000000004 Y-808.0017017308811 P0.9933333333333333
X-447.4792794873689 Y-807.2739896896624 P0.9933333333333333
X-429.56647994909 Y-807.8970474659181 P0.9966666666666668
X-411.76938326376904 Y-808.1429174388496 P0.9900000000000001
X-386.64335146796657 Y-792.7363488358651 P1
X-356.6898129091501 Y-764.9237722589327 P0.9966666666666668
X-341.2520435405963 Y-766.4646389621422 P0.9966666666666668
X-327.0419545455222 Y-770.4625623396925 P1
X-315.04414506278226 Y-779.7616216906681 P0.95
X-317.8723712466817 Y-828.0858383030178 P0.9833333333333333
X-306.10802827647336 Y-841.024895603388 P1
X-294.3136116292696 Y-854.7487923417824 P0.9933333333333333
X-291.40302569557554 Y-896.8462948663298 P1
X-210.50762740037072 Y-688.5394242933854 P0.9966666666666668
X-117.14587622222453 Y-408.53622077378554 P0.030000000000000138
X-125.5272368747225 Y-468.4740257501981 P0
X-320.3045897739602 Y-1284.6715415894193 P0.4266666666666665
X-267.91670572354354 Y-1160.474747159215 P0.4599999999999994
X-83.37258801792167 Y-392.237187894256 P0.7966666666666666
X-135.47438671734668 Y-696.9553002478415 P0.43333333333333335
X-326.8058703691629 Y-1853.4081911689755 P0.9899999999999997
X-291.59384283499065 Y-1841.0510668693366 P0.9900000000000005
X-257.3310636751617 Y-1831.0056591031635 P0.9800000000000002
X-223.38650646163475 Y-1819.3370959585434 P0.9966666666666659
X-190.2418031471291 Y-1810.0298495702575 P0.9966666666666668
X-17.605460035026965 Y-201.2313290145326 P0.8066666666666666
X-12.62592174768673 Y-180.55909309702818 P0
X-37.838896363648736 Y-722.0091536275569 P0
X-25.337034606015553 Y-725.5577404158636 P0
X-12.652994667030535 Y-724.8895789883836 P0
X-1.3373143046689096e-13 Y-728 P0.7566666666666668
X12.792613918528534 Y-732.8883605496349 P0.2566666666666667
X25.686029573040944 Y-735.5516486860545 P0.9800000000000002
X38.72860761977852 Y-738.9858557183846 P0.9733333333333334
X51.75930351814091 Y-740.1925252927896 P0.9799999999999998
X64.93102834700512 Y-742.1650500783504 P0.9900000000000001
X78.5008759140074 Y-746.8859434215733 P0.9900000000000001
X91.88948492748135 Y-748.3797983375567 P0.9899999999999997
X105.35403742676955 Y-749.6329280373687 P0.9966666666666664
X119.20306236065578 Y-752.6185155334949 P1
X133.18815227053528 Y-755.3475465603636 P0.9966666666666668
X147.49535342606936 Y-758.7978128050441 P0.9966666666666668
X161.96320714703458 Y-761.9769809716346 P1
X176.3616266055901 Y-763.9061307916244 P1
X190.87637562813762 Y-765.5633280317613 P0.9966666666666668
X206.5375979918112 Y-770.8088093786766 P0.9966666666666668
X221.0611593652335 Y-770.9318801425317 P0.9966666666666668
X237.11345253013948 Y-775.5631570860218 P0.9966666666666664
X252.77590139870682 Y-777.9642303294356 P0.9933333333333333
X268.2681592726968 Y-779.1073062938372 P1
X285.24479953360793 Y-783.7036457354475 P0.9966666666666664
X301.7458135171429 Y-786.0747191106439 P1
X319.16481759035696 Y-789.9606440909029 P1
X336.81023275775374 Y-793.4751836760037 P1
X355.487826048249 Y-798.4387299796333 P0.9966666666666668
X374.01716164051913 Y-802.0823915274351 P0.9966666666666668
X393.2189186698024 Y-806.2182595303528 P0.9966666666666664
X412.22337376350833 Y-809.0339239630382 P0.9900000000000001
X432.3833093258051 Y-813.1947330230719 P1
X453.7818045505717 Y-818.6440458824743 P0.9933333333333337
X473.5000000000001 Y-820.1260573838633 P1
X496.4967042132922 Y-826.3092778768363 P0.9899999999999997
X517.7311211558409 Y-828.5429899448283 P1
X541.9158398399516 Y-834.4772151056972 P0.9933333333333333
X565.903218312396 Y-838.9860234257021 P0.9833333333333333
X590.2101530052264 Y-842.9074535733725 P0.9899999999999997
X614.8233738979267 Y-846.2317761161952 P1
X640.9329996569311 Y-850.546818200367 P0.9933333333333333
X668.6083622036651 Y-855.7796784168999 P0.9933333333333337
X696.0283525011203 Y-859.5234333714097 P0.9966666666666664
X725.0644237264163 Y-864.0981318382073 P0.9933333333333333
X755.1239423680736 Y-868.6707268364107 P0.9933333333333333
X787.5667236843756 Y-874.6814595868934 P1
X823.8540189554983 Y-883.4752715559578 P0.9900000000000001
X323.71080063389275 Y-335.2123469578114 P0.4866666666666667
X0 Y0 P1
X1917.7599077028433 Y-1851.9592156436875 P0
X2623.365727707965 Y-2446.328117544181 P0.9966666666666678
X2696.129426831986 Y-2427.6058398699374 P0.9933333333333337
X2787.8971893429193 Y-2423.482053090934 P0.9400000000000015
X2847.3871950732405 Y-2389.2415452048676 P0
X0 Y0 P0
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X701.1941499113768 Y-490.9814295164958 P0.046666666666666856
X0 Y0 P1
X1306.6487448589708 Y-848.547616553412 P0.6199999999999999
X0 Y0 P1
X0 Y0 P1
X1626.3957083071753 Y-939.0000000000008 P0.9933333333333327
X0 Y0 P1
X1409.1843582028475 Y-749.2766142062817 P0.9966666666666668
