Lidar data points
Time recoreded: 1653831658992
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X446.6108990024482 Y62.76706853298951 P0.9966666666666666
X786.1999191137297 Y124.52183417202377 P0
X3573.867335681303 Y630.1692367532902 P0.9599999999999985
X3542.692505062619 Y688.6296643139502 P0.8933333333333318
X2667.408507201088 Y566.9751808600297 P0.9366666666666655
X237.7462958075974 Y54.888057259903064 P0.18666666666666676
X636.5139964370537 Y158.70076351338204 P0.773333333333333
X455.9169900084402 Y122.1625892883898 P0.7766666666666668
X454.67678217882485 Y130.3764693014406 P0
X1364.6468867592516 Y417.21442263934534 P0
X0 Y0 P1
X2741.0583506624193 Y943.8220797712972 P0
X3666.6806063066147 Y1334.5625992567593 P0.9933333333333337
X3670.8382369869973 Y1409.1027776121207 P0.9966666666666659
X1217.392401046192 Y491.8584571550925 P0
X844.1029506158878 Y358.30044482466405 P0.5599999999999998
X827.6721846241963 Y368.503398626675 P0.9833333333333333
X816.5833161200215 Y380.7790538283702 P0.9966666666666668
X802.6230833451561 Y391.46543408264614 P0.9966666666666668
X790.3227869550823 Y402.68957326897794 P0.9966666666666664
X797.301676351611 Y423.9328211956594 P0.9966666666666668
X613.9830344118558 Y340.3363534129286 P0.9900000000000001
X793.2792698665459 Y457.99999999999994 P0.9733333333333329
X763.7360649255821 Y458.8989247448583 P0.9933333333333333
X742.8901322330291 Y464.2092754682875 P1
X711.1926416177196 Y461.85390169274297 P1
X689.7592603657946 Y465.24849568766143 P0.9966666666666664
X670.0663722283953 Y469.1855249351557 P1
X652.0676974662076 Y473.75491334773335 P0.9966666666666668
X634.1165949775506 Y477.8411283827263 P1
X386.12526926729373 Y301.6741229095726 P0.8633333333333333
X383.91010495974365 Y310.88427317861965 P0.9966666666666666
X599.0467545190409 Y502.6599107748737 P1
X582.6357959319799 Y506.47757038067164 P0.9966666666666668
X568.5057914902065 Y511.88491386452654 P0.9966666666666668
X554.3661058273312 Y516.9547569273739 P0.9966666666666664
X541.6628696550043 Y523.077752955625 P1
X526.0874452027914 Y526.0874452027913 P0.9966666666666668
X511.268560657822 Y529.4340930492473 P0.9966666666666664
X497.1768044855614 Y533.1568484803753 P0.9966666666666668
X483.78142839745453 Y537.293708820156 P0.9966666666666668
X469.7382647572032 Y540.3720594395047 P1
X456.37920287744294 Y543.8915546144744 P0.9966666666666668
X443.0415552990856 Y547.1107568657076 P0.9966666666666664
