Lidar data points
X429.7317097773095 Y550.031506017492 P1
X417.05781104436943 Y553.4544084627739 P1
X403.80846832492904 Y555.7946751355889 P0.9966666666666668
X391.7527060277645 Y559.4808462493814 P1
X379.69198145663705 Y562.9165117648733 P1
X367.6313486351433 Y566.1026333631612 P1
X355.5758263004805 Y569.0402725209619 P1
X344.0454340399162 Y572.5877568690111 P0.9966666666666668
X332.00000000000006 Y575.0408681128672 P1
X320.45915898282885 Y578.1236264191406 P1
X309.3817598759021 Y581.8624636940328 P0.9966666666666664
X297.8177678291427 Y584.5002798675692 P1
X286.69473000005667 Y587.8113062796552 P1
X275.96972491667674 Y591.8189849349324 P1
X264.7855546423459 Y594.7180929253332 P0.9966666666666668
X253.58450238953864 Y597.4076498906338 P1
X242.37046594009504 Y599.8879539047115 P1
X231.14732745671876 Y602.1593750906951 P1
X215.47269029517136 Y592.0063510951222 P0.9866666666666667
X204.45680099909444 Y593.7856654763709 P1
X193.75365547309204 Y596.3124357170612 P1
X183.02468715643323 Y598.6467772328601 P1
X172.54898474144147 Y601.7498216573877 P1
X162.02072223417798 Y604.6695672569567 P1
X151.44310664539196 Y607.4051246487738 P1
X141.0443110736033 Y610.9300306203424 P1
X130.36063014273518 Y613.2985456600961 P1
X119.82804909647021 Y616.461871205133 P0.9966666666666666
X108.5301110418315 Y615.50484563263 P0.9966666666666666
X96.52006492982248 Y609.4037061472 P0.9966666666666666
X85.73063019140032 Y610.0051303448073 P1
X75.07151553757086 Y611.4084294110544 P1
X64.38953337287452 Y612.6254875468563 P0.9966666666666666
X53.94940476080039 Y616.6445181187905 P0.9966666666666666
X43.73730903756652 Y625.4726595129098 P1
X33.076324345540584 Y631.1338659648907 P0.9966666666666668
X22.161180406088185 Y634.6131751571259 P1
X11.117182900549652 Y636.9029818146213 P1
X3.9188697572715304e-14 Y640 P1
X-11.221897339173276 Y642.9020679855596 P1
X-22.54507486981562 Y645.6064742543358 P1
X-33.966035601670555 Y648.1105680557184 P1
X-45.55097735491384 Y651.4093248196652 P0.9966666666666668
X-57.1741672424638 Y653.5037219481851 P1
X-68.98878575665134 Y656.3844509430604 P1
X-80.92124402101786 Y659.0506446898379 P1
X-92.8284583403636 Y660.5088018506274 P0.9966666666666668
X-105.12396050703511 Y663.7265648799325 P0.9966666666666668
X-101.93148029048808 Y578.0821510181661 P0.7199999999999998
X-94.83207070214277 Y487.868710173489 P0.9933333333333335
X-133.063482123366 Y626.0144644696356 P0.9933333333333333
X-138.11994736713314 Y598.2632197781344 P0.9900000000000001
X-142.73391840380398 Y572.4744785028379 P0.9933333333333333
X-146.75039857312933 Y547.6799435059017 P0.9966666666666666
X0 Y0 P1
X-159.92732248333695 Y523.0987015117804 P0.9933333333333333
X-163.16097302997218 Y502.1578406038411 P0.9933333333333335
X-120.46021714914797 Y349.84187297174725 P0.6066666666666667
X-161.43350764971564 Y443.5349170109488 P1
X-164.84925679083813 Y429.4469961887128 P0.9933333333333333
X-169.32218022399226 Y419.08710226418793 P1
X-130.8949280439067 Y308.3691259065675 P0.6299999999999999
X-115.10646999045147 Y258.53336451285605 P0.6166666666666668
X-189.3329812598333 Y406.0258885924192 P1
X-199.0205006422412 Y408.05249701982177 P1
X-208.8356298801915 Y409.86300112664924 P1
X-190.1359829282858 Y357.5937751078654 P0.8099999999999999
X-143.01883797266942 Y258.01281360612177 P0.6
X-203.99999999999991 Y353.338364744051 P0.8033333333333331
X-244.12804750736572 Y406.2973005328013 P1
X-255.4210853604047 Y408.75918234739737 P0.9966666666666666
X-270.14096136745343 Y415.9806017009303 P1
X-299.72739626032023 Y444.3641388895024 P0.9899999999999999
X-45.312538471732644 Y64.71301149883034 P0.8033333333333333
X-242.1675239444989 Y333.31500168247834 P0.9966666666666666
X-404.4196955581765 Y536.6830627517807 P0.9966666666666668
X-423.5750950240529 Y542.1513984814247 P0.9933333333333333
X-442.4122349080356 Y546.3336109042506 P1
X-437.0955745868468 Y520.9102213209051 P0.9800000000000002
X-432.99895913373473 Y498.1083229470296 P0.9966666666666668
X-426.2361962505927 Y473.3832538291001 P0.9933333333333335
X-417.382996358249 Y447.5884653909324 P0.9933333333333335
X-422.3522892390704 Y437.35859860589983 P1
X-427.79960261786124 Y427.7996026178613 P0.9966666666666666
X-425.84916180048157 Y411.2377553117263 P0.9966666666666668
X-427.11056174559553 Y398.28704227649916 P1
X-431.0239987768886 Y388.09575168813785 P1
X-436.976846948985 Y379.8581777855037 P0.9966666666666666
X-440.4755547934123 Y369.6028755697602 P0.9833333333333333
X-428.207424762791 Y346.7555354684604 P0.9933333333333335
X-434.19392523730374 Y339.2294729044378 P1
X-450.4304276666732 Y339.42367305775514 P0.9766666666666668
X-469.22985673746945 Y340.9154463296345 P0.9966666666666666
X-475.10818568761533 Y332.67433308360665 P0.9966666666666666
X-479.18371693681405 Y323.2134982060917 P0.9966666666666668
X-483.07424713656417 Y313.71208416865574 P1
X-487.6276552899449 Y304.70357693409284 P0.9966666666666666
X-496.299867106523 Y298.20704537292147 P1
X-504.0267850025433 Y290.99999999999994 P0.43999999999999984
X-519.524106040801 Y287.9769144263243 P0.9966666666666666
X-134.2080341145569 Y71.35967754345539 P0.6333333333333333
X0 Y0 P1
X-367.6067649363593 Y179.29379903673262 P0.8
X0 Y0 P0.6533333333333333
X0 Y0 P1
X-217.23914541477592 Y92.21254632346862 P0.4733333333333333
X-574.8539898314082 Y232.25608791786559 P0.7066666666666668
X-72.81927326678174 Y27.952700064533417 P0.4766666666666667
X0 Y0 P0.7066666666666667
X0 Y0 P0.48
X-2245.4444349728574 Y729.5891237192511 P0
X-2721.6433354707992 Y832.0898716409084 P0
X-342.2091637540415 Y98.12689867085172 P0.8366666666666667
X-2584.8175111495466 Y692.5997646943463 P0
X-1950.294409814753 Y486.26301015533215 P0
X-661.5972739891747 Y152.74176589948448 P0.17000000000000026
X-3222.018196817156 Y684.8611095536992 P0
X0 Y0 P0
X0 Y0 P0
X0 Y0 P0
X0 Y0 P0
X0 Y0 P0
X0 Y0 P0
X0 Y0 P0
X-1502.3314596912953 Y105.05324945865304 P0
X-3760.838827885725 Y197.0972112109264 P0
X-2052.748758697223 Y71.68356622693734 P0
X-2620.6008090049013 Y45.742757272119896 P0
X-3284 Y4.021740088399908e-13 P0
X-3289.498917064527 Y-57.41841717866316 P0.8399999999999996
X-3377.9409953245436 Y-117.96029885445304 P0
X-789.9159619908679 Y-41.397741388168356 P0
X-3007.65561153337 Y-210.3157683385377 P0
X-3887.1517119539913 Y-340.0817082013613 P0.9166666666666666
X-3834.8764285400616 Y-403.0617543600719 P0.546666666666666
X-3511.6282845069977 Y-431.1737369674112 P0.8466666666666659
X-3289.6705243594965 Y-462.33304138933767 P0.9933333333333337
X-3134.9227930489674 Y-496.52299203769235 P0.9466666666666659
X-3016.466147476393 Y-531.8843681938081 P0.873333333333333
X-2721.0705525169246 Y-528.922535183782 P0.9466666666666659
X-2600.894470351189 Y-552.8371858844225 P0.9533333333333321
X-2490.4898855910615 Y-574.9748949029189 P0.9633333333333335
X-2395.6601481754356 Y-597.305160235579 P0.9900000000000005
X-2306.630873178295 Y-618.0598797048197 P0.9833333333333333
X-2218.59199422564 Y-636.1710172256337 P0.9799999999999992
X-2134.472215309495 Y-652.5736449411485 P0.9833333333333333
X-2061.8905273278933 Y-669.9488438048858 P0.9966666666666668
X-2076.3587920160994 Y-714.9476671879162 P0.9766666666666661
X-2094.5748517317897 Y-762.3628994729154 P0.9966666666666668
X-2069.747805544296 Y-794.5017441419311 P0.95
X-2007.3530451370948 Y-811.0232747454495 P0.9866666666666665
X-1940.4242310777443 Y-823.6612188553886 P0.976666666666667
X-1877.3359154555449 Y-835.8438015207694 P1
X-1824.3975753047766 Y-850.7305608840277 P0.9866666666666665
X-1771.523065255658 Y-864.0295303212716 P0.9800000000000002
X-1704.4954807723477 Y-868.4838260017528 P0
X-1531.0311260173792 Y-814.0636898707347 P0.04333333333333278
X-1498.2235583297852 Y-830.4788794819752 P0.9899999999999997
X-1461.8508815881323 Y-844.0000000000002 P0.9933333333333327
X-1416.8975480605916 Y-851.3579378263195 P0.9933333333333337
X-1374.6859638695666 Y-858.999127322025 P0.9833333333333333
X-1335.163544169115 Y-867.0653437439231 P0.9799999999999992
X-1298.2728386211954 Y-875.6960868351892 P0.9766666666666661
X-1261.4941482050474 Y-883.3077119806111 P0.976666666666667
X-1227.2787804667953 Y-891.6702277276815 P0.9866666666666665
X-798.6355100472929 Y-601.8150231520484 P0.17333333333333345
X-159.96618298216458 Y-124.97927949110861 P0.73
X-450.74465764504305 Y-365.0058268089058 P0.9833333333333333
X-433.5811548053416 Y-363.8177870825812 P0.9933333333333335
X-420.3732361840841 Y-365.42487914771243 P0.9900000000000001
X-328.47001286100823 Y-295.7557280106153 P0.6333333333333333
X-273.5262844055698 Y-255.06738666337438 P0.053333333333333344
X-251.04959031818922 Y-242.43577129019008 P0
X-340.825468531916 Y-340.8254685319159 P0.7333333333333334
X-331.35204270894167 Y-343.12508476153664 P0.9966666666666668
X-322.58522430956185 Y-345.93030086586765 P1
X-313.82225438230444 Y-348.534923148898 P0.9933333333333335
X-304.41138945159537 Y-350.1852452233662 P0.9933333333333335
X-295.0395128461216 Y-351.61439939161085 P0.9900000000000001
X-285.71145753662637 Y-352.82426650146465 P0.9966666666666666
X-277.6633253718718 Y-355.39284987663166 P1
X-268.40950032581355 Y-356.1914374810926 P0.9933333333333335
X-260.9766520178581 Y-359.20354550247663 P1
X-252.3736319944604 Y-360.4268994871563 P0.9966666666666666
X-244.926491720187 Y-363.1184567791083 P0.5133333333333334
X-199.33788681549987 Y-306.9534278680252 P0.9733333333333332
X-196.60004703051905 Y-314.625843674034 P0.5099999999999999
X-227.64682911024408 Y-378.86794691033356 P0.9966666666666668
X-219.5000000000002 Y-380.1851522613685 P1
X-211.37699442740285 Y-381.33419231277657 P1
X-203.28118668629068 Y-382.31630770791537 P1
X-195.2159148880052 Y-383.13280540099817 P1
X-187.62285082572527 Y-384.6838518160434 P1
X-179.61276123979715 Y-385.1808094905763 P1
X-172.04960002106344 Y-386.4297285828202 P1
X-164.49780509398428 Y-387.5325433034773 P1
X-157.33476923468316 Y-389.41721891805065 P0.9966666666666666
X-149.7978029099357 Y-390.23661827583027 P0.9966666666666668
X-142.6223997668038 Y-391.8518228677238 P0.9966666666666666
X-135.11078409972 Y-392.3902088737165 P1
X-127.9330356712283 Y-393.73739774619355 P1
X-120.74951405049042 Y-394.9538642127336 P1
X-113.56259059660354 Y-396.0398187265874 P1
X-106.37462753713598 Y-396.99551460480706 P1
X-99.1879771958638 Y-397.8212477731586 P0.9966666666666666
X-92.22993228098476 Y-399.4917265619464 P1
X-85.03588154446375 Y-400.06236870012646 P1
X-78.04087910900675 Y-401.48551803009457 P1
X-70.84845648810757 Y-401.80156322898085 P0.9966666666666666
X-63.9816962014545 Y-403.9645313034113 P1
X-56.782625191706856 Y-404.02937204656064 P0.9966666666666666
X-49.84456145270519 Y-405.95137602130075 P1
X-42.75214147647022 Y-406.7594552056238 P1
X-35.646698783792225 Y-407.44363151952393 P1
X-28.600154235091487 Y-409.0012606065279 P1
X-21.51007801585011 Y-410.43673878412983 P1
X-14.343693144727812 Y-410.74962990484835 P0.9966666666666666
X-7.190391452160801 Y-411.9372504044332 P1
X-7.586686920717853e-14 Y-413 P1
X7.225296265035216 Y-413.936945794746 P0.7266666666666668
X14.518190628240532 Y-415.74658403994385 P0.9966666666666666
X21.824093753307626 Y-416.4285159926573 P1
X29.227962498788468 Y-417.9793370588664 P1
X36.60541195401631 Y-418.40177319853314 P1
X44.11101149894956 Y-419.6882398454114 P1
X51.67260160378262 Y-420.8395682959205 P1
X59.28774100898789 Y-421.854197283909 P1
X66.95395103721873 Y-422.73060977471897 P1
X74.84236457444682 Y-424.4521415482617 P0.9966666666666666
X82.62029499804403 Y-425.04457043283844 P1
X90.64949719654311 Y-426.4723539199392 P1
X98.7535128569567 Y-427.74845844071825 P1
X107.17139975065268 Y-429.8410067402665 P0.9966666666666668
X115.43329411572405 Y-430.8029185249245 P1
X124.03681011764972 Y-432.5677631722435 P0.9966666666666666
X132.73675394412246 Y-434.16235920721806 P0.9966666666666666
X141.52978342372583 Y-435.58388446318037 P0.9966666666666668
X150.4124873592062 Y-436.82958192688443 P1
X159.38138678976176 Y-437.8967612862333 P1
X168.7913042358365 Y-439.71638088018204 P1
X178.3127384659741 Y-441.3395147737908 P1
X187.94167280334054 Y-442.76283451062386 P1
X197.6740085348387 Y-443.9830924143041 P1
X207.5055665146835 Y-444.99712343499505 P0.9966666666666666
X217.4320888073824 Y-445.80184696438687 P0.9966666666666666
X227.9032308692524 Y-447.28527514256075 P0.9966666666666668
X238.9610254580182 Y-449.42032476519387 P0.9966666666666666
X249.6769544268637 Y-450.42914917678877 P0.9933333333333333
X261.00000000000006 Y-452.06526077547693 P0.9933333333333335
X272.9701797023287 Y-454.29866937211955 P0.9933333333333333
X285.0965641574641 Y-456.24987573215725 P0.9933333333333333
X297.91755215321956 Y-458.7528006661471 P0.9966666666666668
X310.3520614262646 Y-460.1158527680481 P0.9933333333333333
X324.070686538341 Y-462.8209050232804 P0.9933333333333333
X337.38873481587945 Y-464.3757547712199 P0.9899999999999999
X130.5938600239944 Y-173.3039056802626 P0.2633333333333334
X132.98287867034225 Y-170.21032277905192 P0
X367.5231083731051 Y-453.8532414908709 P0.9933333333333333
X382.4586277634909 Y-455.79644365579196 P0.9900000000000001
X398.22783059723776 Y-458.10871519522266 P0.9900000000000001
X414.86097594249185 Y-460.74979179598466 P0.9900000000000001
X431.7049619195616 Y-462.94689312493483 P0.9866666666666665
X450.1386240574302 Y-466.1321906194459 P0.7
X0 Y0 P0
X0 Y0 P1
X0 Y0 P1
X1203.1514724479014 Y-1083.3224516949913 P0
X1815.0765404357664 Y-1577.8219647221704 P0
X1822.4197301800482 Y-1529.1917234442776 P0
X1222.4505973718146 Y-989.9209751213949 P0
X460.1982801063257 Y-359.5463015901844 P0
X1062.1852283628994 Y-800.4139807922242 P0.0033333333333331883
X1762.0390137486354 Y-1280.196279493007 P0.22000000000000075
X1938.932888832043 Y-1357.655424842927 P0.9766666666666661
X1941.605994923908 Y-1309.6297799284885 P0.9900000000000005
X1928.10363570653 Y-1252.125141499547 P0.9699999999999999
X1931.0055149481816 Y-1206.6261646590078 P0.9899999999999997
X1936.3409322860712 Y-1163.4710112218131 P0.9866666666666665
X1956.3513871490463 Y-1129.500000000001 P0.9099999999999995
X1981.888256377871 Y-1098.5785994781993 P0.9699999999999999
X2126.137803604296 Y-1130.487523188425 P0.8266666666666671
X2420.864726219795 Y-1233.4921877923491 P0
X2749.4109876291514 Y-1340.977338027789 P0.8133333333333326
X3088.6969382209036 Y-1440.283036012303 P0.9866666666666675
X1038.7011853396373 Y-462.45956317718475 P0
X2726.535375926128 Y-1157.3456025852292 P0.8299999999999992
X3401.8375624055425 Y-1374.4315912429824 P0
X2541.2059209253825 Y-975.4775586623086 P0
X2653.6919610994055 Y-965.8648847516881 P0.676666666666667
X1322.7804872634442 Y-455.4698480855622 P0
X1210.6949452437304 Y-393.3786338393083 P0
X3967.7084324906336 Y-1213.0502028946364 P0
X3572.048462106793 Y-1024.268414215968 P0
X1837.190921601808 Y-492.27382378499436 P0
X6560.169405352012 Y-1635.6339361493544 P0
X6598.434078725612 Y-1523.368540016656 P0.9933333333333356
X6613.25592856126 Y-1405.6909416188744 P0.9400000000000015
X6635.799760106209 Y-1289.868808745442 P0.9966666666666659
X6639.573870808306 Y-1170.7360138304446 P1
X6642.2040905023005 Y-1052.0217773955542 P0.9266666666666652
X2472.699367647701 Y-347.5152330972845 P0
X1398.4975276626228 Y-171.71390485785244 P0
X829.43126073714 Y-87.17673836522295 P0
X443.30664065082675 Y-38.78430552270795 P0
X0 Y0 P1
X0 Y0 P1
X2668.373508140986 Y-93.18165619567719 P0
X3150.520087437789 Y-54.9925326838805 P0
