Lidar data points
X-510.21418023247224 Y1262.8244099199644 P0.9933333333333327
X-538.8182261867086 Y1269.376192910915 P0.9900000000000005
X-568.6178270199688 Y1277.136549784356 P0.9866666666666675
X-597.1596038396082 Y1280.6129030827865 P0.9933333333333337
X-625.9939976148027 Y1283.4778981152103 P1
X-698.6913790991624 Y1371.259040725898 P0.9466666666666669
X-734.2535241971334 Y1380.9300352313617 P0.9933333333333327
X-764.0599615082272 Y1378.4006584516878 P0.9933333333333337
X-820.9999999999997 Y1422.0137130140483 P0.9800000000000002
X-862.1737373994308 Y1434.898061375336 P0.9766666666666661
X-900.8627491964481 Y1441.6817634659244 P0.9800000000000002
X-941.1362525059668 Y1449.2227414096928 P0
X-482.5834756952544 Y715.4594251150011 P0
X-161.748555050995 Y231.00087648949565 P0.5233333333333333
X-762.94525747563 Y1050.1040586986817 P0.5133333333333335
X-1070.027111164342 Y1419.9739368640865 P0.9933333333333327
X-266.58141881601006 Y341.2086563117106 P0
X-938.9460234463572 Y1159.5017744938007 P0
X-1000.1775206722552 Y1191.9651534931297 P0.8100000000000004
X-1095.618578414147 Y1260.3649989720295 P0.9300000000000002
X-1106.7420229175516 Y1229.16154133961 P1
X-1115.0673187021848 Y1195.763302147344 P0.9966666666666668
X-979.4683023471863 Y1014.2691184774981 P0.3633333333333335
X-585.4844148224613 Y585.4844148224614 P0.6666666666666667
X-982.6181672625977 Y948.9033340469902 P0.7366666666666665
X-1020.2384137587428 Y951.3877122871855 P0.0066666666666662655
X-1056.7519418288546 Y951.5037222422966 P0.5600000000000004
X-416.59968828297013 Y362.14458400276004 P0
X-857.2037318501363 Y719.2793352392376 P0
X-976.0953275899554 Y790.4264111585958 P0
X-401.88548433942816 Y313.9873524160858 P0
X-174.10254119030986 Y131.1956750471465 P0
X-414.21670111997304 Y300.9460491737463 P0
X-361.24605153144546 Y252.94720843081126 P0
X-211.4045810015356 Y142.59419038504046 P0.8733333333333333
X-429.39933078805706 Y278.855185927694 P0.1433333333333332
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P0
X-1544.2753399102633 Y821.1057633125229 P0.9966666666666668
X-2078.718220931462 Y1059.159835892363 P0.9666666666666667
X-3175.4393655749573 Y1548.76526160581 P0
X-1420.1843022864305 Y662.2428161476761 P0.16000000000000036
X-702.51645692716 Y312.7804785252905 P0.7433333333333332
X-3229.131025911161 Y1370.6847987403723 P0
X-3222.891078474153 Y1302.1325187137109 P0.9966666666666678
X-3235.789758239301 Y1242.1033131240106 P0
X-3240.9998490905978 Y1179.627474330232 P0.9966666666666659
