Lidar data points
Time recoreded: 1653831587338
X2556 Y0 P0.9766666666666661
X2136.674524549208 Y37.295792556474865 P0.9966666666666659
X2310.5915920681496 Y80.68763637618224 P0
X2689.3093370940674 Y140.94073016224775 P0.9866666666666656
X2731.3303696113985 Y190.9932251114151 P0.9633333333333345
X2369.947186760263 Y207.34351199667879 P0.24333333333333274
X1015.406855171007 Y106.72356099627419 P0.7599999999999999
X1855.0687574176309 Y227.77380282422064 P0.28000000000000014
X778.3507020308743 Y109.39005735461143 P0.9966666666666664
X2403.0457326679702 Y380.6050534428817 P0.2700000000000008
X2937.6815272354165 Y517.9925139804532 P0.9966666666666678
X3005.742435716747 Y584.2571438429802 P0.9966666666666678
X3087.033827915891 Y656.1692962208485 P0.9833333333333333
X3172.5489309407258 Y732.4406329436245 P0.9699999999999989
X3249.520387298312 Y810.1964283632873 P0.9766666666666651
X3346.9329880916216 Y896.8079912802343 P0.9966666666666659
X3461.5033670738862 Y992.570118297014 P0.9833333333333333
X3562.235215962307 Y1089.0846000921945 P0.9600000000000004
X3702.463017937033 Y1203.0031591016702 P0.9533333333333341
X3482.344913932284 Y1199.067512865708 P0
X0 Y0 P0
X4118.956841705654 Y1581.1193933938648 P0
X4244.647686206753 Y1714.9489846580452 P0.8666666666666667
X4288.63211223492 Y1820.4163276315264 P0.8466666666666659
X4219.666468851174 Y1878.7165543671213 P0.95
X4164.484281433406 Y1941.930912698514 P0.9600000000000004
X1634.9063702181847 Y797.3971160093319 P0.9866666666666665
X678.9469714315363 Y345.9407608015346 P0.32999999999999996
X0 Y0 P1
X985.696409946099 Y546.3804420176218 P0
X1344.071426673449 Y775.9999999999999 P0.9566666666666663
X2124.9177384405366 Y1276.7793877020242 P0.35999999999999943
X1067.6925530609403 Y667.1683536696049 P0.1533333333333331
X0 Y0 P0.08999999999999997
X0 Y0 P0
X1667.7935621723873 Y1167.8016244107298 P0
X1426.2969610830323 Y1036.2653997916302 P0
X489.5635676589905 Y368.9126091922056 P0
X1453.8798404044019 Y1135.8954219758396 P0
X901.4893152900862 Y730.0116536178114 P0
X1332.1512865839027 Y1117.8076532448918 P0
X811.31279873948 Y705.2634561647953 P0
X1050.8067832250354 Y946.1506773914256 P0
X3068.760131994039 Y2861.6651188222436 P0.9733333333333348
X2229.9533810498187 Y2153.4409484228913 P0
X2368.8077169749345 Y2368.807716974934 P0
X1938.7915119510612 Y2007.6773827451755 P0
X2281.2845144090575 Y2446.3781319161253 P0
X1679.5178219607342 Y1865.2935119482595 P0
X2743.6388592383014 Y3156.1954644916327 P0.9966666666666659
X1920.0065901336932 Y2288.1747515963875 P0.49333333333333373
X2636.852438498819 Y3256.2415785047083 P0.9933333333333337
X2577.774597188531 Y3299.401025351345 P0.9966666666666659
X2518.595871891322 Y3342.2896095479205 P0.9933333333333337
X2463.9957776100473 Y3391.3992404197797 P0.9833333333333333
X2403.285268310883 Y3432.2470655708757 P0.9966666666666659
X2350.2877732875486 Y3484.4449174488404 P0.976666666666667
X2269.510858907618 Y3494.740256628582 P0.9433333333333337
X2085.2323047576615 Y3337.0692583755367 P0.7700000000000008
X1890.1897349198987 Y3145.8039935767524 P0.05666666666666631
X1613.5000000000005 Y2794.6639780123833 P0
X1359.4061751707293 Y2452.4336588188658 P0.7766666666666652
X1191.518826350591 Y2240.9209906759565 P0.9700000000000008
X1093.6631138725684 Y2146.434716769778 P0.9966666666666668
X1005.1850395873546 Y2060.93474816399 P0.9633333333333335
X903.5578436016154 Y1937.6860486843575 P0.9700000000000008
X814.286759437752 Y1828.9180062004868 P0.9733333333333329
X739.6540262301952 Y1742.5156875854695 P0.9933333333333327
X672.4188351815619 Y1664.2950189473834 P0.9633333333333335
X608.8671462774654 Y1586.1531446187457 P0.9733333333333329
X552.0205113276295 Y1516.663889948456 P0.9933333333333327
X501.3749578640214 Y1456.0986064229478 P0.9866666666666665
X454.25498173117273 Y1398.0530789538757 P0.9833333333333333
X411.9517319543361 Y1347.433401151917 P0.9866666666666665
X374.0398918436679 Y1304.4321213882988 P1
X338.7941300391997 Y1264.3969066123905 P0.9833333333333333
X306.0311979335796 Y1227.4240937391355 P1
X275.56504157123453 Y1193.6033293619132 P0.9900000000000001
X245.7516185465917 Y1156.1704640673581 P0.9833333333333333
X218.47629970614392 Y1123.9631250475752 P0.9966666666666668
X192.57582903262582 Y1092.1517980905387 P0.9866666666666665
X168.010615453208 Y1060.777277799178 P0.9799999999999998
X147.66266011862945 Y1050.6744209348062 P0.9899999999999997
X131.00954416053355 Y1066.987113014421 P1
X113.30885418213634 Y1078.0617345792082 P0.9966666666666668
X95.26122682319034 Y1088.840805014278 P1
X77.08090348725838 Y1102.3082755371058 P1
X58.5639350358543 Y1117.466449390368 P0.9933333333333337
X39.541129763933725 Y1132.3098070126355 P0.9900000000000001
X16.754310179792256 Y959.8537873501356 P0
X2.7554552980815446e-14 Y450 P0.2433333333333333
X-23.89234441264108 Y1368.7914946690996 P0.9866666666666665
X-48.71969739669133 Y1395.1495945186578 P0.95
X-75.31144103359618 Y1437.0279005118318 P0.9733333333333339
X-102.47225993012012 Y1465.4215898316818 P0.9800000000000002
X-130.55930263599203 Y1492.2996577414349 P0.9700000000000008
X-159.71949187297463 Y1519.6294561227216 P0.976666666666667
X-190.23804505543504 Y1549.3645427121037 P0.9766666666666661
X-222.1202691322643 Y1580.4678377115463 P0.9866666666666665
X-255.61391587573715 Y1613.882748532455 P0.9966666666666668
X-290.68704941444133 Y1648.5681785424363 P0.9933333333333337
X-322.46720218636074 Y1658.9499400265522 P0.8833333333333333
X-359.27140173308817 Y1690.2390540680162 P0.9700000000000008
X-399.28812146036046 Y1729.5068649937925 P0.9933333333333337
X-437.63670913979905 Y1755.2649688332776 P0.9899999999999997
X-474.4153096729207 Y1770.5420395878623 P0.9833333333333333
X-520.9546024941282 Y1816.7846053234227 P0.9800000000000002
X-568.3705939810001 Y1859.056445592141 P0.9833333333333333
X-620.1971077105193 Y1908.7704282043733 P0.9466666666666669
X-649.8340362964847 Y1887.2550768962365 P0.9900000000000005
X-674.8057427815444 Y1854.0135408105973 P0.9966666666666659
X-699.8926054619715 Y1823.282572949035 P0.9933333333333327
X-724.114545072958 Y1792.2463908776 P0.9966666666666668
X-747.0779176714915 Y1760.0052798010659 P0.9900000000000005
X-767.918782127111 Y1724.7738240292304 P0.9833333333333333
X-803.3973155690694 Y1722.8911031566718 P0.9966666666666668
X-896.4689951836635 Y1838.0338246817964 P0.8066666666666663
X-965.1838024462763 Y1894.2798704244701 P0.9666666666666667
X-983.0734524736556 Y1848.8922594465928 P0.9733333333333339
X-1009.85843897312 Y1821.8328499713616 P0.9966666666666659
X-1034.4999999999995 Y1791.8065604300036 P0.976666666666667
X-1071.7942338878229 Y1783.7651527610958 P0.9699999999999999
X-1103.8218273977657 Y1766.4841842938356 P0.9833333333333333
X-379.6134074054739 Y584.5533858579605 P0
X-640.8350673774758 Y950.0770581480779 P0.4433333333333328
X-609.711751841162 Y870.7586230791982 P0
X-1257.8604399058922 Y1731.2963679623876 P0
X-2405.4546475387374 Y3192.146133659029 P0
X-3272.240741355874 Y4188.277155419728 P0.9566666666666682
X-3332.251470608888 Y4114.987865914662 P0.9799999999999992
X-3399.7036676321068 Y4051.609059656275 P0
X-679.6771540341654 Y781.879125110792 P0
X-2111.7761936685565 Y2345.3650692066562 P0
X-894.7818484019979 Y959.5360565243518 P0
X-2427.136346383737 Y2513.373262383247 P0
X-1703.4202358783928 Y1703.4202358783932 P0.16333333333333355
X-2532.0760971920527 Y2445.19746401567 P0
X-1245.4953538574473 Y1161.443207186435 P0.6666666666666667
X-645.0497085143782 Y580.805366319489 P0
X-1283.0062863787125 Y1115.3003492838623 P0
X-195.34133299533937 Y163.91084047006757 P0.3633333333333333
X-879.729228369291 Y712.3906826684159 P0.21666666666666667
X-757.2783342160598 Y591.6506777879578 P0
X-980.7244063380757 Y739.0288484307151 P0
X-1387.4641453530346 Y1008.0517076815917 P0.21666666666666667
X-1005.918710386882 Y704.3518638390844 P0
X-868.0023384651286 Y585.474969933872 P0.936666666666667
X-1053.3702333394524 Y684.0666279788743 P0
X-734.4096512714649 Y458.91008282595544 P0.036666666666666514
X-335.1524145745259 Y201.37988728983126 P0.34666666666666657
X-479.77807369657904 Y276.99999999999994 P0.07666666666666666
X-364.71641787712804 Y202.1656116427226 P0.31000000000000016
X0 Y0 P1
X-778.7397021406334 Y396.787696772364 P0.6300000000000001
X-1183.711758976003 Y577.3348003212147 P0.9933333333333327
X-899.9636325273934 Y419.6599339085146 P0.6333333333333333
X-1013.1219125256442 Y451.07093717106267 P0
X-991.3837271682783 Y420.8174253829479 P0.5866666666666664
X-832.611101400975 Y336.3967208874892 P0.6766666666666665
X-1253.7985127857419 Y481.2881562393382 P0.9566666666666663
X-1270.464423302548 Y462.4112337763043 P0.9633333333333335
X-1263.2128170006872 Y434.9590543547612 P0.9566666666666663
X-1232.569245118519 Y400.486024709932 P0.9099999999999995
X-1284.3172872583568 Y392.65519944263525 P0.9633333333333335
X-1307.3159064761137 Y374.86680391111895 P0.9566666666666663
X-1332.9776402789141 Y357.170282241479 P0.44999999999999996
X-1364.235791144051 Y340.14218521313285 P0
X-1322.2201779135642 Y305.2585807446251 P0.5633333333333335
X-1288.220390166422 Y273.81969680698904 P0.9666666666666667
X-1262.3725579136958 Y245.38036805423684 P0.9866666666666665
X-1232.9793067712844 Y217.4075184389967 P0.9766666666666666
X-452.361259992573 Y71.64698498842579 P0.9900000000000001
X-735.7691750749868 Y103.40561401332853 P0.5900000000000001
X-494.28798351737834 Y60.69093301576348 P0.44000000000000006
X-594.7240934302274 Y62.50802103405693 P1
X-1208.3841687852873 Y105.71991595290939 P0.9966666666666664
X-1226.006217769324 Y85.73070623153026 P0.9966666666666664
X-1245.2910298389536 Y65.26293743495093 P0.9933333333333333
X-1264.229396179156 Y44.147863328663945 P0.9933333333333333
X-1283.8044405808064 Y22.408889865471934 P0.9866666666666665
X-1304 Y1.5969394260881486e-13 P0.9866666666666665
X-1324.7981960822185 Y-23.12443852940082 P0.9833333333333333
X-1346.179443994722 Y-47.00962205826871 P0.9833333333333333
X-1366.125203544257 Y-71.59558814034679 P0.9899999999999997
X-1366.662748855959 Y-95.56636902945162 P0.9933333333333337
X-1397.661161422719 Y-122.2795070749641 P1
X-1427.138919853472 Y-149.99834478908278 P0.9933333333333337
X-1464.00557367095 Y-179.75728152259228 P0.9933333333333337
X-1276.4555406078841 Y-179.39412713752446 P0.9133333333333336
X-600.5145110818438 Y-95.11215474446028 P0
X-1160.103533048381 Y-204.5575532916441 P0.9966666666666664
X-289.5800191170609 Y-56.288653636080696 P0.6733333333333333
X-396.14977829719123 Y-84.2042347811926 P0
X-1610.6337170899938 Y-371.8440928304088 P0.9933333333333337
X-1634.9482987750544 Y-407.63839408543976 P0.9899999999999997
X-1654.630940433174 Y-443.3570242606181 P0.9800000000000002
X-1683.1692295879964 Y-482.6410100355652 P0.9366666666666665
X-1024.202393636411 Y-313.1300957580511 P0
X-1172.6526845919245 Y-381.01795406431 P0
X-1670.7313230839927 Y-575.278928925796 P0.7299999999999993
X-1712.1199550719252 Y-623.1607011393683 P0.7099999999999994
X-1760.7326843737226 Y-675.8819528424366 P0.6666666666666667
X-1871.9842023703438 Y-756.3307121067263 P0.5533333333333331
X-1949.6292796122686 Y-827.5685301402814 P0.5466666666666669
X-1556.6814598229919 Y-693.0792398011636 P0
X-1925.9040474528813 Y-898.063806198986 P0.05666666666666631
X-1784.1061819038464 Y-870.1667263763187 P0
X-2195.4400756001387 Y-1118.632591358243 P0.023333333333332984
X-1896.571429460975 Y-1008.4249168640936 P0.9899999999999997
X-987.445649360378 Y-547.3500612581145 P0
X-2071.532765852377 Y-1196.0000000000002 P0.9966666666666668
X-2041.7725102724316 Y-1226.820694435749 P0.9966666666666659
