Lidar data points
X-1445.07395585055 Y-902.9824262533809 P0.9833333333333333
X-1055.886245043289 Y-685.7005450839191 P0.39333333333333376
X-894.5315407868901 Y-603.3691428449357 P0
X-615.1831852610328 Y-430.75590369963567 P0
X-942.5047984468138 Y-684.769818920731 P0.9666666666666667
X-1072.5674899935143 Y-808.237576093201 P0
X-263.9836024582519 Y-206.24659423409548 P0
X-608.5052878208081 Y-492.75786619202285 P0.6900000000000002
X-1214.1804423435804 Y-1018.8183613531647 P0
X-465.6558109974504 Y-404.7884208871429 P0
X-910.352411209808 Y-819.6849927896013 P0.9900000000000001
X-1803.5182281928746 Y-1681.807955914121 P0.9966666666666668
X-2662.276601053348 Y-2570.930629068749 P0.9799999999999992
X-1734.5329342506016 Y-1734.5329342506009 P0
X-1278.1714016445549 Y-1323.5852326231181 P0.21666666666666667
X-1685.217947714434 Y-1807.1749967009703 P0
X-962.8789425503968 Y-1069.3854038619704 P0
X-1209.1167904295048 Y-1390.9297563505688 P0.9900000000000005
X-1184.6575646522922 Y-1411.8199086682762 P0
X-2700.413797994854 Y-3334.7333206118606 P0.9866666666666675
X-2638.7250832457703 Y-3377.414089958411 P0.9866666666666656
X-2557.1120333730532 Y-3393.402282190947 P0
X-2519.835376577833 Y-3468.2558548853995 P0
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X-116.39860492967232 Y-193.71980995867733 P0.2466666666666666
X-831.0000000000007 Y-1439.3342210897367 P0.9966666666666659
X-1913.058761492045 Y-3451.249364372056 P0.9
X-272.29350641581664 Y-512.1096038581777 P0
X-240.61496486195986 Y-472.23345781983494 P0.32000000000000006
X-720.6821653212438 Y-1477.6174121158303 P0
X-846.5043782666204 Y-1815.33449743441 P0.9733333333333329
X-169.60918016260865 Y-380.9484558369646 P0.7066666666666666
X-234.04794596507503 Y-551.3824072180117 P0
X-726.7367912268699 Y-1798.7366778595674 P0
X-116.82795155176804 Y-304.34721903808776 P0
X-638.2095874456975 Y-1753.4664303865052 P0
X-200.54998314560848 Y-582.4394425691792 P0.8466666666666667
X-301.90960350432374 Y-929.182216420365 P0
X-291.20221790384613 Y-952.4795369391832 P0.9933333333333337
X-278.1180920193519 Y-969.9130512017638 P0.9966666666666664
X-263.477787914366 Y-983.3124911622715 P1
X-248.45378678085882 Y-996.4937108854484 P0.9966666666666664
X-233.27424335458826 Y-1010.4217571822888 P0.9966666666666664
X-215.6044233780169 Y-1014.3390619609564 P0.9933333333333333
X-172.87294981114943 Y-889.3542282035836 P0.5566666666666663
X0 Y0 P1
X-170.20069796377138 Y-1074.6049145675097 P0.49666666666666637
X-167.7035866568793 Y-1193.2730228335922 P0.9833333333333333
X-142.58713178402218 Y-1161.2789974203467 P0.9933333333333333
X-118.95339119858953 Y-1131.765916929095 P0.9900000000000001
X-96.56856296440534 Y-1103.783725485654 P0.9900000000000001
X-75.33699164365562 Y-1077.3691742806102 P0.9866666666666665
X-55.26676979254919 Y-1054.55278870083 P0.9800000000000002
X-36.016280596980785 Y-1031.3713334837068 P0.9799999999999998
X-17.60947809521905 Y-1008.8463244127988 P0.9799999999999998
X-1.8112526159389354e-13 Y-986 P0.9866666666666669
X16.84157221197822 Y-964.8530258259176 P0.9900000000000001
X32.980024383863714 Y-944.4243315330455 P0.9966666666666668
X48.777111218423755 Y-930.7227263912628 P0.9966666666666664
X64.10619937085107 Y-916.7613621887785 P0.9933333333333337
X78.96310292937805 Y-902.5523964711215 P1
X93.13486077147881 Y-886.1190087731316 P0.9933333333333337
X106.87941416631452 Y-870.4629749894394 P0.9933333333333333
X120.24555922949656 Y-855.5916113927168 P0.9899999999999997
X132.81286081915584 Y-838.5474011652719 P0.9966666666666664
X145.16987652955345 Y-823.299281518206 P0.9966666666666668
X157.03580319489663 Y-807.8791719774274 P0.9966666666666664
X168.82429294402064 Y-794.2558517958502 P0.9966666666666668
X180.1857945294358 Y-780.4704218929734 P1
X191.11829752373728 Y-766.5336237580373 P0.9966666666666668
X201.87885517996583 Y-753.4221445054734 P0.9966666666666668
X212.24076397908954 Y-740.1715058725055 P0.9966666666666668
X222.78723899872537 Y-728.704224043833 P0.9966666666666668
X232.9988137587102 Y-717.0966132865458 P0.9966666666666668
X242.8738432250386 Y-705.3568573970905 P1
X253.09490606099504 Y-695.3725393815722 P0.9966666666666668
X263.0420749662505 Y-685.2480330489461 P0.9933333333333333
X271.9643868199521 Y-673.1354784154877 P0.9966666666666668
X280.93568138378765 Y-661.8429896323047 P1
X290.0032265130452 Y-651.3579112991746 P1
X299.63634757415605 Y-642.5722210089847 P1
X311.24351422024495 Y-638.1437728724086 P0.9966666666666668
X332.7750363090877 Y-653.1077822300738 P0.9933333333333333
X358.6762739684203 Y-674.5719609442203 P0.9899999999999997
X386.87807695657716 Y-697.9465262972377 P0.9900000000000001
X418.0000000000001 Y-723.9972375637907 P0.9933333333333337
X453.2335059208477 Y-754.3072246178589 P0.9866666666666665
X491.7650772084139 Y-786.9886332331633 P0.9866666666666669
X534.8355323847561 Y-823.5744977224066 P0.9833333333333333
X582.1198125130477 Y-863.0281130297983 P0.9833333333333333
X474.34771286231506 Y-677.4387406269963 P0.5466666666666669
X0 Y0 P0
X776.9431948892939 Y-1031.0384434710554 P0.3833333333333333
X958.5849170820503 Y-1226.9327433656658 P0.9733333333333339
X517.3013614429665 Y-638.81398031763 P0
X780.9869457691452 Y-930.7439983895584 P0.9933333333333333
X490.0760946559088 Y-563.7680564264108 P0.9599999999999999
X750.0954097282796 Y-833.0653493601593 P0
X1143.7112498248102 Y-1226.4801576153486 P0.04666666666666586
X1542.141582418974 Y-1596.9343567518054 P0.9966666666666668
X1552.0993847044715 Y-1552.0993847044722 P0.9966666666666668
X1558.8093473338565 Y-1505.3246887846478 P0.9966666666666659
X1578.9926417957895 Y-1472.4344593749338 P0.9966666666666668
X1640.120629828609 Y-1476.7712482339998 P0.9966666666666668
X1716.2095854265833 Y-1491.8782319244137 P0.9800000000000002
X1546.643730657216 Y-1297.7881839571235 P0.0033333333333331883
X456.1846793752417 Y-369.4110695462548 P0.04000000000000015
X2100.836669115521 Y-1641.3534932182047 P0.9966666666666678
X4262.3177171224015 Y-3211.8867785624816 P0.9966666666666697
X4321.768783950969 Y-3139.9488177463927 P0.9799999999999992
X4382.463436946105 Y-3068.6339344780986 P0.9666666666666667
X4439.496201032249 Y-2994.477998085848 P0.9766666666666651
X4501.144938163091 Y-2923.07770092565 P0.973333333333331
X4532.8170739560965 Y-2832.418467326481 P0.9766666666666651
X4542.129526420492 Y-2729.1867589483786 P0.9733333333333348
X3933.487383988919 Y-2271.000000000002 P0.9966666666666678
X2009.0014672991922 Y-1113.6076977058358 P0
X3765.7714835433235 Y-2002.2962152818243 P0
X3756.4835059781585 Y-1914.02394690193 P0.9233333333333349
X3573.605128085487 Y-1742.9636796333732 P0.9233333333333349
X3432.1875895077937 Y-1600.455357212028 P0.976666666666667
X3297.8991020897897 Y-1468.3192815036386 P0.9966666666666659
X3113.147414376153 Y-1321.4526765507242 P0.8933333333333338
X3054.1436169429976 Y-1233.9541187120153 P0.9733333333333348
X2904.368706832794 Y-1114.8826910354308 P0.8866666666666655
X2417.8291132821423 Y-880.0178287769453 P0
X555.019403876799 Y-191.108506666351 P0.9766666666666666
X1484.5992219367347 Y-482.37552821929324 P0.6399999999999997
X2177.5059293278314 Y-665.7303716536725 P0.9833333333333333
X2185.909096563737 Y-626.7993471278556 P0.9966666666666668
X2209.0723647230993 Y-591.9191561494648 P1
X1675.700719278646 Y-417.79911370062644 P0.3466666666666669
X0 Y0 P1
X1516.1287811373986 Y-322.2631207675278 P0
X2207.6795355737963 Y-429.129430601849 P0.9599999999999994
X2294.602064518445 Y-404.6002539639478 P0.9466666666666669
X1416.3450804134275 Y-224.32702286769143 P0.16999999999999982
X0 Y0 P1
X0 Y0 P1
X1208.3441028724521 Y-127.0020828701989 P0
X2435.696036834318 Y-213.09579101802458 P0.95
X2459.9929479407265 Y-172.0194642530138 P0.9766666666666661
X2483.591652934625 Y-130.15952317620264 P0.9699999999999999
X2512.468539126007 Y-87.73733471008707 P0.9866666666666665
X2535.6137549166083 Y-44.259302724951105 P0.9966666666666668
