Lidar data points
Time recoreded: 1653770176517
XNaN YNaN P0
XNaN YNaN P0
XNaN YNaN P0
XNaN YNaN P0
XNaN YNaN P0
XNaN YNaN P0
XNaN YNaN P0
XNaN YNaN P0
XNaN YNaN P0.08000000000000018
XNaN YNaN P0.9833333333333333
XNaN YNaN P0.9833333333333333
XNaN YNaN P0.9866666666666669
XNaN YNaN P0.9966666666666664
XNaN YNaN P0.9833333333333333
XNaN YNaN P0.9900000000000001
XNaN YNaN P0.9966666666666664
XNaN YNaN P0.9966666666666664
XNaN YNaN P1
XNaN YNaN P0.9966666666666668
XNaN YNaN P0.9966666666666668
XNaN YNaN P0.9900000000000001
XNaN YNaN P0.9966666666666664
XNaN YNaN P0.9899999999999997
XNaN YNaN P0.9933333333333333
XNaN YNaN P0.9966666666666668
XNaN YNaN P1
XNaN YNaN P1
XNaN YNaN P0.9899999999999997
XNaN YNaN P0.9966666666666668
XNaN YNaN P0.9933333333333333
XNaN YNaN P1
XNaN YNaN P0.9966666666666664
XNaN YNaN P0.9933333333333333
XNaN YNaN P1
XNaN YNaN P0.9933333333333337
XNaN YNaN P1
XNaN YNaN P0.9966666666666668
XNaN YNaN P0.9966666666666664
XNaN YNaN P0.9933333333333333
XNaN YNaN P0.9966666666666664
XNaN YNaN P1
XNaN YNaN P0.9866666666666669
XNaN YNaN P0.9933333333333333
XNaN YNaN P1
XNaN YNaN P1
XNaN YNaN P0.9933333333333333
XNaN YNaN P1
XNaN YNaN P0.9966666666666668
XNaN YNaN P0.9933333333333333
XNaN YNaN P0.9933333333333333
XNaN YNaN P0.9966666666666668
XNaN YNaN P1
XNaN YNaN P0.9900000000000001
XNaN YNaN P0.9933333333333333
XNaN YNaN P1
XNaN YNaN P0.9966666666666668
XNaN YNaN P1
XNaN YNaN P0.9866666666666665
XNaN YNaN P0.40666666666666673
XNaN YNaN P1
XNaN YNaN P0
XNaN YNaN P0.9833333333333333
XNaN YNaN P0.7699999999999998
XNaN YNaN P0
XNaN YNaN P0.45666666666666633
XNaN YNaN P0
XNaN YNaN P0
XNaN YNaN P0.9900000000000015
XNaN YNaN P0.9800000000000011
XNaN YNaN P0.9899999999999997
XNaN YNaN P0.9899999999999997
XNaN YNaN P0.976666666666667
XNaN YNaN P0.9933333333333318
XNaN YNaN P0
XNaN YNaN P1
XNaN YNaN P1
XNaN YNaN P1
XNaN YNaN P1
XNaN YNaN P0
XNaN YNaN P0
XNaN YNaN P0.060000000000000386
XNaN YNaN P0.5566666666666673
XNaN YNaN P0
XNaN YNaN P0.9800000000000011
XNaN YNaN P0.9866666666666675
XNaN YNaN P0
XNaN YNaN P1
XNaN YNaN P1
XNaN YNaN P1
XNaN YNaN P0
XNaN YNaN P0
XNaN YNaN P0.7800000000000002
XNaN YNaN P0
XNaN YNaN P0
XNaN YNaN P0.11333333333333329
