Lidar data points
Time recoreded: 1653831561699
X2310 Y0 P0.9966666666666668
X2255.6564002728187 Y39.3726289225116 P0.9533333333333331
X2162.6817496693234 Y75.5225108642121 P0.9133333333333336
X2060.1727301986857 Y107.96907772919313 P0.9299999999999993
X1995.1281005196483 Y139.5129474882506 P0.9566666666666663
X1941.583466580812 Y169.86654261518578 P0
X1879.6463822460364 Y197.55879557586505 P0.9566666666666663
X1836.2103805364457 Y225.45828529952283 P0.876666666666667
X1482.431298906131 Y208.34213213721796 P0.1566666666666663
X1429.1850288411645 Y226.36067091321408 P0.18666666666666643
X1343.2777751086517 Y236.85611433769296 P0.0966666666666669
X1593.1809187355586 Y309.6829994961322 P0.873333333333333
X1542.5387663572117 Y327.87673641960646 P0.8833333333333333
X1522.9404112593227 Y351.598497939461 P0.796666666666666
X1450.5921107826148 Y361.67323392150325 P0.8833333333333333
X1396.7287448139928 Y374.25233921824497 P0.8900000000000006
X1340.9600658339548 Y384.5141113647138 P0.8833333333333333
X1302.4870776216542 Y398.2102618323675 P0.8866666666666674
X536.3958751904665 Y174.28558482747033 P0
X998.4676158328786 Y343.7999711067575 P0.4
X973.5215551342011 Y354.3328684853928 P0.25
X953.185615453643 Y365.8936764857516 P0.9866666666666669
X933.674141548755 Y377.2288395698234 P1
X914.0613194782733 Y387.9960105898489 P0.9900000000000001
X891.6203666591784 Y396.974963641981 P0.9866666666666665
X868.2428599811107 Y404.8682947475901 P0.9900000000000001
X865.5386665860979 Y422.15141435788155 P0.9800000000000002
X873.1863937046005 Y444.9106897447558 P0.9833333333333333
X878.5328548946324 Y467.1242049719614 P0.9866666666666665
X891.2374815750443 Y494.0210030310175 P0.9866666666666665
X898.0683437244629 Y518.4999999999999 P0.9833333333333333
X912.8831752477496 Y548.5155497792077 P0.9866666666666665
X907.4114628873758 Y567.0136127295292 P0.9533333333333331
X929.2469892835298 Y603.46005079665 P0.9733333333333334
X533.0711591528917 Y359.56103693169024 P0
X726.5878632843358 Y508.7622990433778 P0
X364.8666644631013 Y265.0911487839054 P0.3866666666666667
X852.1440892204614 Y642.1366297032355 P0.1066666666666668
X1001.5616678341436 Y782.5057351389116 P0.21333333333333349
X849.4205358724691 Y687.8471874174722 P0.8833333333333333
X899.3361762216801 Y754.6326537719971 P0.5533333333333331
X803.0109933570294 Y698.0468068458997 P0.6299999999999997
X1070.1285486874476 Y963.5480731567559 P0
X1072.895880275323 Y1000.4915942116853 P0.9466666666666669
X1112.8186711238934 Y1074.6364991000687 P0.9633333333333335
X1120.0571413994915 Y1120.0571413994912 P0.9433333333333328
X1165.6367456301973 Y1207.0521849682566 P0.95
X1172.355180947435 Y1257.197013083354 P0.9466666666666669
X1226.5164014557872 Y1362.1844651000636 P0.7766666666666661
X1261.6015127487456 Y1451.3065227683906 P0.9266666666666661
X1345.3544670739268 Y1603.331019448021 P0.9699999999999999
X1387.6514622648917 Y1713.6068450126209 P0.9699999999999999
X1438.8008678360634 Y1841.5811311789093 P0.9700000000000008
X739.6306634538673 Y981.523041848123 P0
X109.91584217869247 Y151.28617794811518 P1
X137.65834472425104 Y196.59649062935804 P0.19999999999999996
X39.14350324295228 Y58.03263007885292 P0
X0 Y0 P1
X0 Y0 P1
X299.23712152274146 Y498.01420170792727 P0
X1503.0000000000002 Y2603.2723637760223 P0
X1660.4729493437046 Y2995.5724969524304 P0
X1614.5127044206786 Y3036.4567718418493 P0
X1208.9767008064132 Y2372.750373913623 P0
X1747.3473911012627 Y3582.59306854848 P0.9899999999999997
X1688.3599556540942 Y3620.6996092114164 P0.976666666666667
X1217.36277272587 Y2734.2415547243045 P0
X778.7271390791225 Y1834.5661729307137 P0
X373.85738022908015 Y925.3294868576538 P0
X357.2928456966645 Y930.7796852177102 P0
X545.1801084611161 Y1497.8700375327378 P0
X518.6300700502508 Y1506.2110909297116 P0
